"","treeID","tree_height_m","tree_x","tree_y","crown_area_m2","tree_cbh_m","is_training_cbh","Date","Plot","Start_Time","End_Time","X","Y","U","stdeast","stdnorth","stdu","RMSE","RMSN","RMSU","Method","notes","BUFF_DIST","ORIG_FID","Shape_Leng","Shape_Area"
"383","29646_399367.5_4034178.5",10.8000001907349,399367.5,4034178.5,15,1.5,TRUE,816,104,"11:15","11:46",36.447547121,-106.122994779,2428.3167,0.6377,0.8842,0.3744,0.6377,0.8841,0.3744,"static",NA,11.3,101,0.00071700348122,0.0000000401188070459
"384","29684_399352.5_4034177.5",14.2299995422363,399352.5,4034177.5,19,6.5,TRUE,816,104,"11:15","11:46",36.447547121,-106.122994779,2428.3167,0.6377,0.8842,0.3744,0.6377,0.8841,0.3744,"static",NA,11.3,101,0.00071700348122,0.0000000401188070459
"385","29685_399356.5_4034177.5",15.6599998474121,399356.5,4034177.5,36,3.5,TRUE,816,104,"11:15","11:46",36.447547121,-106.122994779,2428.3167,0.6377,0.8842,0.3744,0.6377,0.8841,0.3744,"static",NA,11.3,101,0.00071700348122,0.0000000401188070459
"386","29686_399362.5_4034177.5",11.0600004196167,399362.5,4034177.5,15,3.5,TRUE,816,104,"11:15","11:46",36.447547121,-106.122994779,2428.3167,0.6377,0.8842,0.3744,0.6377,0.8841,0.3744,"static",NA,11.3,101,0.00071700348122,0.0000000401188070459
"387","29722_399347.5_4034176.5",13.5799999237061,399347.5,4034176.5,38,4.5,TRUE,816,104,"11:15","11:46",36.447547121,-106.122994779,2428.3167,0.6377,0.8842,0.3744,0.6377,0.8841,0.3744,"static",NA,11.3,101,0.00071700348122,0.0000000401188070459
"388","29743_399354.5_4034175.5",14.5,399354.5,4034175.5,8,11.5,TRUE,816,104,"11:15","11:46",36.447547121,-106.122994779,2428.3167,0.6377,0.8842,0.3744,0.6377,0.8841,0.3744,"static",NA,11.3,101,0.00071700348122,0.0000000401188070459
"389","29744_399369.5_4034175.5",12.8000001907349,399369.5,4034175.5,25,5.5,TRUE,816,104,"11:15","11:46",36.447547121,-106.122994779,2428.3167,0.6377,0.8842,0.3744,0.6377,0.8841,0.3744,"static",NA,11.3,101,0.00071700348122,0.0000000401188070459
"390","29772_399372.5_4034174.5",9.94999980926514,399372.5,4034174.5,23,4.5,TRUE,816,104,"11:15","11:46",36.447547121,-106.122994779,2428.3167,0.6377,0.8842,0.3744,0.6377,0.8841,0.3744,"static",NA,11.3,101,0.00071700348122,0.0000000401188070459
"391","29805_399363.5_4034173.5",9.97000026702881,399363.5,4034173.5,17,5.5,TRUE,816,104,"11:15","11:46",36.447547121,-106.122994779,2428.3167,0.6377,0.8842,0.3744,0.6377,0.8841,0.3744,"static",NA,11.3,101,0.00071700348122,0.0000000401188070459
"392","29846_399353.5_4034172.5",13.6499996185303,399353.5,4034172.5,23,5.5,TRUE,816,104,"11:15","11:46",36.447547121,-106.122994779,2428.3167,0.6377,0.8842,0.3744,0.6377,0.8841,0.3744,"static",NA,11.3,101,0.00071700348122,0.0000000401188070459
"393","29879_399357.5_4034171.5",16.4400005340576,399357.5,4034171.5,28,2.5,TRUE,816,104,"11:15","11:46",36.447547121,-106.122994779,2428.3167,0.6377,0.8842,0.3744,0.6377,0.8841,0.3744,"static",NA,11.3,101,0.00071700348122,0.0000000401188070459
"394","29880_399367.5_4034171.5",11.5,399367.5,4034171.5,29,3.5,TRUE,816,104,"11:15","11:46",36.447547121,-106.122994779,2428.3167,0.6377,0.8842,0.3744,0.6377,0.8841,0.3744,"static",NA,11.3,101,0.00071700348122,0.0000000401188070459
"395","29881_399370.5_4034171.5",11.4300003051758,399370.5,4034171.5,21,2.5,TRUE,816,104,"11:15","11:46",36.447547121,-106.122994779,2428.3167,0.6377,0.8842,0.3744,0.6377,0.8841,0.3744,"static",NA,11.3,101,0.00071700348122,0.0000000401188070459
"396","29976_399354.5_4034168.5",14.4799995422363,399354.5,4034168.5,20,7.5,TRUE,816,104,"11:15","11:46",36.447547121,-106.122994779,2428.3167,0.6377,0.8842,0.3744,0.6377,0.8841,0.3744,"static",NA,11.3,101,0.00071700348122,0.0000000401188070459
"397","29977_399359.5_4034168.5",12.6700000762939,399359.5,4034168.5,25,4.5,TRUE,816,104,"11:15","11:46",36.447547121,-106.122994779,2428.3167,0.6377,0.8842,0.3744,0.6377,0.8841,0.3744,"static",NA,11.3,101,0.00071700348122,0.0000000401188070459
"398","30013_399348.5_4034167.5",16.25,399348.5,4034167.5,31,8.5,TRUE,816,104,"11:15","11:46",36.447547121,-106.122994779,2428.3167,0.6377,0.8842,0.3744,0.6377,0.8841,0.3744,"static",NA,11.3,101,0.00071700348122,0.0000000401188070459
